"id","success","big_hit","backers_count"
5971,"NO","NO",7
39409,"YES","NO",66
52687,"YES","NO",25
53154,"YES","NO",38
75626,"NO","NO",3
106144,"NO","NO",1
113230,"YES","NO",44
126581,"NO","NO",2
138119,"NO","NO",3
182647,"YES","NO",340
206517,"NO","NO",84
237090,"YES","NO",100
254501,"NO","NO",11
301434,"NO","NO",0
305052,"NO","NO",0
316217,"YES","NO",39
325034,"NO","NO",8
326455,"YES","YES",402
375531,"NO","NO",24
377067,"NO","NO",1
398115,"NO","NO",0
403979,"YES","NO",75
407836,"YES","NO",46
493482,"NO","NO",0
514147,"NO","NO",4
532768,"NO","NO",0
600658,"YES","YES",118
610918,"YES","NO",255
634678,"NO","NO",1
659796,"NO","NO",0
698521,"NO","NO",96
707185,"YES","NO",33
710161,"NO","NO",0
744884,"NO","NO",19
787066,"YES","NO",123
816348,"NO","NO",9
868003,"NO","NO",5
870139,"YES","YES",31
871246,"NO","NO",3
875892,"YES","YES",49
915154,"NO","NO",0
958158,"YES","NO",16
975081,"NO","NO",23
1003381,"NO","NO",30
1024013,"NO","NO",136
1033120,"YES","NO",35
1043796,"NO","NO",1
1044530,"YES","NO",444
1156776,"NO","NO",2
1163007,"YES","NO",29
1167521,"YES","YES",114
1188601,"NO","NO",4
1251688,"YES","NO",28
1253208,"YES","NO",15
1258821,"NO","NO",15
1322024,"NO","NO",3
1340453,"YES","NO",31
1349658,"YES","YES",181
1352667,"NO","NO",14
1380209,"YES","NO",41
1397716,"YES","NO",139
1398484,"NO","NO",49
1399727,"NO","NO",14
1505845,"NO","NO",92
1544188,"NO","NO",1
1577024,"NO","NO",0
1611879,"NO","NO",7
1615245,"NO","NO",5
1626253,"NO","NO",16
1664088,"NO","NO",2
1711332,"NO","NO",1
1712779,"NO","NO",17
1745035,"YES","NO",664
1749457,"NO","NO",45
1776870,"NO","NO",24
1792496,"NO","NO",2
1795887,"NO","NO",2
1812899,"NO","NO",2
1814172,"YES","YES",2594
1818860,"NO","NO",20
1820497,"NO","NO",25
1841780,"NO","NO",72
1850349,"NO","NO",9
1877302,"YES","NO",180
1891691,"YES","NO",605
1966108,"YES","NO",44
1968798,"YES","NO",78
1980322,"YES","NO",51
2003139,"YES","NO",18
2066546,"YES","NO",794
2085232,"NO","NO",2
2085836,"NO","NO",21
2107190,"YES","YES",651
2140106,"NO","NO",48
2140747,"YES","YES",222
2170814,"YES","NO",50
2178442,"NO","NO",7
2199238,"YES","NO",60
2223811,"YES","YES",709
2240943,"NO","NO",0
2255081,"YES","YES",36
2256897,"YES","NO",120
2291348,"NO","NO",18
2309530,"YES","NO",46
2324098,"YES","YES",980
2325488,"NO","NO",1
2363882,"NO","NO",1
